bin	bins_n	phylum
'LIB-MJ390-D2_03.10'	1	Campylobacterota
'LIB-MJ307-B11_01.12'	4	Actinomycetota
'LIB-MJ093-G8_02.32'	2	Actinomycetota
'LIB-MJ251-F11_04.19'	1	Actinomycetota
'LIB-MJ199-B7_04.6'	2	Actinomycetota
'LIB-MJ307-F9_01.20'	1	Actinomycetota
'LIB-MJ194-G1_04_v_LIB-MJ408-D7_04.19'	1	Actinomycetota
'LIB-MJ337-B11_03.29'	1	Actinomycetota
'LIB-MJ254-E6_02.16'	1	Actinomycetota
'LIB-MJ105-H3_01.37'	1	Actinomycetota
'LIB-MJ250-H5_04.21'	1	Actinomycetota
'LIB-MJ256-B4_03.3'	1	Actinomycetota
'LIB-MJ307-E6_01.7'	1	Actinomycetota
'LIB-MJ386-A11_04.12'	2	Campylobacterota
'LIB-MJ226-C5_01.23'	1	Actinomycetota
'LIB-MJ199-G9_04.10'	1	Actinomycetota
'LIB-MJ390-G4_03.3'	1	Actinomycetota
'LIB-MJ092-D4_01.5'	1	Actinomycetota
'LIB-MJ228-A7_01.7'	1	Actinomycetota
'LIB-MJ134-A2_03.1'	1	Actinomycetota
'LIB-MJ195-H10_01.1'	8	Actinomycetota
'LIB-MJ191-H6_04.23'	3	Actinomycetota
'LIB-MJ228-A8_01.18'	1	Actinomycetota
'LIB-MJ353-E2_03.6'	1	Actinomycetota
'LIB-MJ413-H7_01.31'	6	Bacillota_A
'LIB-MJ387-B2_01.2'	1	Campylobacterota
'LIB-MJ190-C5_02.10'	1	Actinomycetota
'LIB-MJ192-F7_04.23'	1	Actinomycetota
'LIB-MJ196-F6_02.8'	1	Actinomycetota
'LIB-MJ048-H11_04.6'	1	Actinomycetota
'LIB-MJ196-F6_02.31'	1	Actinomycetota
'LIB-MJ307-E4_01.22'	1	Actinomycetota
'LIB-MJ390-E1_03.4'	11	Actinomycetota
'LIB-MJ347-D6_04_v_LIB-MJ368-D6_03.9'	1	Actinomycetota
'LIB-MJ390-C1_03.33'	1	Actinomycetota
'LIB-MJ383-G7_01.47'	1	Actinomycetota
'LIB-MJ413-A11_01.5'	16	Thermotogota
'LIB-MJ383-H8_01.7'	1	Actinomycetota
'LIB-MJ105-F7_01.31'	1	Actinomycetota
'LIB-MJ250-C5_04_v_LIB-MJ365-C5_03.33'	1	Actinomycetota
'LIB-MJ196-E8_02.13'	1	Actinomycetota
'LIB-MJ337-C4_03.48'	1	Actinomycetota
'LIB-MJ353-H10_03.13'	1	Actinomycetota
'LIB-MJ191-F7_04.1'	1	Actinomycetota
'LIB-MJ140-B8_02.27'	1	Actinomycetota
'LIB-MJ228-D6_01.1'	2	Actinomycetota
'LIB-MJ055-B9_04.22'	1	Actinomycetota
'LIB-MJ261-F6_01.1'	1	Actinomycetota
'LIB-MJ228-G7_01.2'	1	Actinomycetota
'LIB-MJ413-A7_01.27'	1	Thermotogota
'LIB-MJ344-C7_04.4'	1	Actinomycetota
'LIB-MJ256-H7_03.9'	1	Actinomycetota
'LIB-MJ279-E5_02.1'	1	Actinomycetota
'LIB-MJ093-C7_02.1'	1	Actinomycetota
'LIB-MJ129-D10_02.2'	1	Actinomycetota
'LIB-MJ050-B4_02.2'	1	Actinomycetota
'LIB-MJ353-C12_03.9'	1	Actinomycetota
'LIB-MJ195-C6_01.5'	1	Actinomycetota
'LIB-MJ105-D5_01_v_LIB-MJ367-D5_04.13'	1	Actinomycetota
'LIB-MJ138-D7_03.2'	1	Actinomycetota
'LIB-MJ305-F8_04.2'	2	Bacteroidota
'LIB-MJ306-H9_01.5'	1	Actinomycetota
'LIB-MJ227-E7_02.3'	1	Actinomycetota
'LIB-MJ196-C2_02.1'	1	Actinomycetota
'LIB-MJ190-H6_02.3'	1	Actinomycetota
'LIB-MJ344-E10_04.3'	1	Actinomycetota
'LIB-MJ415-D4_04.7'	1	Actinomycetota
'LIB-MJ093-H8_02.6'	1	Actinomycetota
'LIB-MJ193-C8_01.5'	1	Actinomycetota
'LIB-MJ228-D7_01.16'	1	Actinomycetota
'LIB-MJ262-D7_03.2'	1	Actinomycetota
'LIB-MJ283-G11_04_v_LIB-MJ415-A7_04.36'	1	Bacteroidota
'LIB-MJ139-C4_01.11'	1	Actinomycetota
'LIB-MJ140-C2_02.16'	1	Actinomycetota
'LIB-MJ307-E8_01.36'	1	Actinomycetota
'LIB-MJ176-E7_03.20'	1	Actinomycetota
'LIB-MJ307-A6_01.2'	1	Actinomycetota
'LIB-MJ132-F8_03.9'	1	Actinomycetota
'LIB-MJ191-E3_04.1'	1	Actinomycetota
'LIB-MJ194-E3_04.9'	1	Actinomycetota
'LIB-MJ231-E6_04.9'	1	Actinomycetota
'LIB-MJ173-G7_01.1'	1	Actinomycetota
'LIB-MJ132-E6_03.15'	1	Actinomycetota
'LIB-MJ191-E2_04.7'	1	Actinomycetota
'LIB-MJ353-E5_03.20'	1	Actinomycetota
'LIB-MJ230-H11_03_v_LIB-MJ402-C11_04.6'	1	Actinomycetota
'LIB-MJ191-F4_04.2'	1	Actinomycetota
'LIB-MJ344-G4_04.7'	1	Actinomycetota
'LIB-MJ254-F5_02.19'	1	Chlamydiota
'LIB-MJ132-E11_03.1'	1	Actinomycetota
'LIB-MJ177-G4_03.5'	1	Actinomycetota
'LIB-MJ280-E7_02.1'	1	Actinomycetota
'LIB-MJ109-D3_01.2'	1	Actinomycetota
'LIB-MJ195-E8_01.3'	1	Actinomycetota
'LIB-MJ383-G8_01.9'	1	Actinomycetota
'LIB-MJ088-E3_04.2'	1	Actinomycetota
'LIB-MJ177-B3_03.3'	1	Actinomycetota
'LIB-MJ231-E10_04.10'	1	Actinomycetota
'LIB-MJ139-D5_01.96'	1	Actinomycetota
'LIB-MJ353-E5_03.8'	1	Actinomycetota
'LIB-MJ389-F5_03.31'	2	Halobacteriota
'LIB-MJ382-A10_02.5'	1	Halobacteriota
'LIB-MJ191-B7_04.8'	1	Actinomycetota
'LIB-MJ130-D9_01.4'	1	Actinomycetota
'LIB-MJ282-D4_03.19'	1	Actinomycetota
'LIB-MJ255-D6_02.4'	1	Actinomycetota
'LIB-MJ254-C5_02.16'	2	Actinomycetota
'LIB-MJ194-B8_04.13'	8	Actinomycetota
'LIB-MJ196-F6_02.18'	1	Actinomycetota
'LIB-MJ048-F9_04.1'	2	Actinomycetota
'LIB-MJ137-E9_02.6'	2	Actinomycetota
'LIB-MJ344-F9_04.5'	50	Actinomycetota
'LIB-MJ048-A9_04.12'	2	Actinomycetota
'LIB-MJ387-F5_01.2'	2	Halobacteriota
'LIB-MJ169-C9_01.9'	3	Actinomycetota
'LIB-MJ195-C5_01.11'	1	Actinomycetota
'LIB-MJ093-E10_02.7'	1	Actinomycetota
'LIB-MJ197-A8_03.11'	3	Actinomycetota
'LIB-MJ173-C9_01.23'	1	Actinomycetota
'LIB-MJ201-G5_03.14'	1	Pseudomonadota
'LIB-MJ305-B7_04.20'	5	Actinomycetota
'LIB-MJ092-G3_01.26'	2	Actinomycetota
'LIB-MJ191-C6_04.19'	2	Actinomycetota
'LIB-MJ259-E10_04.29'	1	Actinomycetota
'LIB-MJ386-B12_04.17'	1	Actinomycetota
'LIB-MJ390-D8_03.65'	6	Halobacteriota
